student_id,study_time,attendance,study_place,sleep_hours,result
1,1,62,home,6.2,fail
2,2,68,library,6.8,fail
3,,70,cafe,5.9,fail
4,3,73,home,7.1,fail
5,4,,library,6.5,fail
6,2,66,,6.0,fail
7,5,75,cafe,7.0,fail
8,3,71,home,6.4,fail
9,4,78,library,7.3,fail
10,5,80,cafe,6.9,fail
11,6,82,home,7.4,pass
12,7,85,library,7.8,pass
13,6,84,cafe,7.2,pass
14,8,88,home,8.0,pass
15,7,90,,7.6,pass
16,9,92,library,8.1,pass
17,,86,cafe,7.5,pass
18,8,,home,7.9,pass
19,9,94,library,8.3,pass
20,10,96,cafe,8.5,pass
